选课号,课程,开课校区,授课方式,授课老师,学分,总学时,限选人数,上课教室,课程类型,上课时间
"18003012","运动心理学","崂山校区","讲授","徐卫华","3.0","48","39","6213","Specialty","1-17周 二(3-4节)",
"","","","","","","","","6213","Specialty","1-17周 四(10-11节)双",
"18003044","体育科学研究方法","崂山校区","讲授","杨韵","2.0","32","40","","Specialty","1-17周 四(3-4节)",
"18003004","运动生理学","崂山校区","讲授","朱俊英","4.0","64","46","6214","Specialty","1-17周 二(3-4节)",
"","","","","","","","","6214","Specialty","1-17周 四(1-2节)",
"18003003","学校体育学","崂山校区","讲授","关敏","2.0","32","46","6213","Specialty","1-17周 一(3-4节)",
"18003013","运动训练学","崂山校区","讲授","谭嘉辉","3.0","48","39","6213","Specialty","1-17周 二(1-2节)",
"","","","","","","","","6213","Specialty","1-17周 四(10-11节)单",
"18003048","运动竞赛学","崂山校区","讲授","王毅","2.0","32","40","6215","Specialty","1-17周 四(1-2节)",
"18003014","运动营养学","崂山校区","讲授","王忠勇","2.0","32","39","6213","Specialty","1-17周 一(1-2节)",
"18003063","瑜伽","崂山校区","讲授","丁涛","2.0","32","51","","Specialty","1-8周 三(1-2节)",
"","","","","","","","","","Specialty","1-8周 五(1-2节)",
"18003007","专项训练与竞赛2","崂山校区","讲授","刘霞","3.0","96","46","","Specialty","1-17周 一(5-6节)",
"","","","","","","","","","Specialty","1-17周 三(5-6节)",
"","","","","","","","","","Specialty","1-17周 五(5-6节)",
"18003019","专项训练与竞赛2","崂山校区","讲授","王毅","3.0","96","46","","Specialty","1-17周 一(7-8节)",
"","","","","","","","","","Specialty","1-17周 三(10-11节)",
"","","","","","","","","","Specialty","1-17周 五(7-8节)",
"18003020","专项训练与竞赛2","崂山校区","讲授","王伟","3.0","96","46","","Specialty","1-17周 一(5-6节)",
"","","","","","","","","","Specialty","1-17周 三(5-6节)",
"","","","","","","","","","Specialty","1-17周 四(7-8节)",
"18003021","专项训练与竞赛2","崂山校区","讲授","霍鑫","3.0","96","46","","Specialty","1-17周 二(5-6节)",
"","","","","","","","","","Specialty","1-17周 三(7-8节)",
"","","","","","","","","","Specialty","1-17周 五(5-6节)",
"18003022","专项训练与竞赛2","崂山校区","讲授","常晓峰","3.0","96","46","","Specialty","1-17周 三(5-8节)",
"","","","","","","","","","Specialty","1-17周 五(7-8节)",
"18003023","专项训练与竞赛2","崂山校区","讲授","刘蕊","3.0","96","46","","Specialty","1-17周 一(5-6节)",
"","","","","","","","","","Specialty","1-17周 三(5-6节)",
"","","","","","","","","","Specialty","1-17周 五(5-6节)",
"18003024","专项训练与竞赛2","崂山校区","讲授","曹娜","3.0","96","46","","Specialty","1-17周 一(5-6节)",
"","","","","","","","","","Specialty","1-17周 三(5-6节)",
"","","","","","","","","","Specialty","1-17周 五(5-6节)",
